province,canton,district,property_type,property_area,utility,environment,accessibility,terrain,legal_status,price_millions,monthly_price,whatsapp,images,title,description,bedrooms,bathrooms,parking,year_built_range,construction_area,transaction_type,listing_status,currency,source_url
"Alajuela","Palmares","","House","5331","","","","","","184","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/85/51/92/25855192_51084d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/85/51/92/25855192_d9924c|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/85/51/92/25855192_f733b0|https://photos.encuentra24.com/t_user_logo/v1/users/logo/19/12/61/1912616_7621fc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_51084d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_d9924c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_71980e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_8adf0c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_493468|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_150f2a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_94a553|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_4b07a8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_1e6c00|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_01dc98|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_f7fdd4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_e33d47|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_bc49c4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_e1658f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_595d69|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/85/51/92/25855192_f733b0","Quinta de 5.331 m² con casa de 340m²","The property has a lot of 5,331 square meters and 340 square meters of construction. On the 1st ...","4 Bedrooms","4 Bathrooms","4+ Vehicles","","340 m²","buy","active","CRC","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/house-located-in-esquipulas-palmares/25855192"
"Alajuela","Palmares","","Land","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/90/37/48/25903748_01b68d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/90/37/48/25903748_df04d0|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/90/37/48/25903748_2821ac|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/90/37/48/25903748_f6e9a1|https://photos.encuentra24.com/t_user_logo/v1/users/logo/19/12/61/1912616_7621fc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/90/37/48/25903748_df04d0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/90/37/48/25903748_2821ac|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/90/37/48/25903748_83cd08|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/90/37/48/25903748_f6e9a1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/90/37/48/25903748_01b68d","Land Palmares | venta | LOTE IN SKIPULES - PALMARES : CRC 62000000.00","","","","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/lote-in-skipules-palmares/25903748"
"Alajuela","Alajuela","San Isidro","Condo","","","Gated Community","","","","45","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-c912b8f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-d595bf9|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-8592ac8|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-fa7bbbc|https://photos.encuentra24.com/t_user_logo/v1/users/logo/54/40/50/544050_5e0c7f|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-d595bf9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-8592ac8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-d14e5ab|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-4006eff|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-201e2ca|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-2e78dce|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-2ed1b9c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-abd14c4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-fa7bbbc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/12/86/17/32128617_4a62a90a8cfb920369bd2fe817e0c090-c912b8f","Lote en Venta en Condominio El Retiro – Fraijanes, Alajuela | 751 m² con Amenidades-VH","Living in El Retiro Condominium in Fraijanes offers a lifestyle surrounded by nature while remaining ...","","","","","","buy","active","CRC","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/residential-lot-for-sale-in-fraijanes-alajuela-751-m-in-gated-community-vh/32128617"
"Alajuela","Alajuela","Guacima","House","1193","","","","","","1","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-415136e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-ef19320|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-119e2cd|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-59cd335|https://photos.encuentra24.com/t_user_logo/v1/users/logo/16/60/34/97/16603497_1642d5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-ef19320|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-119e2cd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-77c3804|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-a16c5f4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-4f42c14|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-9a14df1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-4e5d7c8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-a502cb7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-ae1c13b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-314a075|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-3273abe|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-0ec2ed1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-6512d1a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-8fdda77|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-cb495ca|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-59cd335|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/07/40/32260740_0b12727a45cc7027aa69637ce6e24785-415136e","Casa Frente a Golf con Amenidades Fabulosas en Venta en Hacienda Los Reyes","Casa de lujo con piscina en venta en La Guácima, Hacienda Los Reyes, 515 m² de construcción, ...","3 Bedrooms","5+ Bathrooms","4+ Vehicles","","515 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/golf-front-house-with-fabulous-threats-for-sale-in-hacienda-los-reyes/32260740"
"Alajuela","Grecia","Grecia","Condo","Ask the seller","","Riverfront","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/29/79/32492979_4a924b6|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/29/79/32492979_6e6b1bc|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/29/79/32492979_12d1e51|https://photos.encuentra24.com/t_user_photo/v1/users/photo/16/49/26/04/16492604_d74dfb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_4a924b6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_6e6b1bc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_7c661e9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_572f560|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_db3cad0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_d3f4e1c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_860b5cd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_fb1b2e4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_5f9166d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_2b6a968|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_b259803|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_ade9d9f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_e537dc9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_ee6031a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_9459827|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_82a1ae8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_600282f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_436ce11|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_8e51f0a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/29/79/32492979_12d1e51","Condo Prístino y Llave en Mano -Río, Naturaleza y Amenidades de Lujo-El Canal","Never occupied & turnkey perfect pristine El Canal Tower condo lives like brand new. The owner ...","3 Bedrooms","2 Bathrooms","1 Vehicle","2020+","121 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-apartments-condos/pristine-turnkey-condo-river-trails-amp-resort-life-el-canal-grecia/32492979"
"Alajuela","Grecia","Grecia","Condo","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/33/96/88/32339688_be887b0|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/33/96/88/32339688_77dbedf|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/33/96/88/32339688_24175f4|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/33/96/88/32339688_41e7b82|https://photos.encuentra24.com/t_user_photo/v1/users/photo/16/88/22/31/16882231_ee6343|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_77dbedf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_24175f4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_b4982e7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_dba2832|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_cd32e91|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_9f7cbec|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_b5a74ef|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_df5209a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_41e7b82|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/33/96/88/32339688_be887b0","Land Grecia | venta | Lot for Sale - Montezuma Condominium- Grecia : CRC 41000000.00","","","","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/lot-for-sale-montezuma-condominium-grecia/32339688"
"Alajuela","Alajuela","Guacima","Condo","186","","Gated Community","","","","82","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-8b8eff5|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-c942982|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-c92563e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-80acc0e|https://photos.encuentra24.com/t_user_photo/v1/users/photo/59/12/81/5912815_bc91df|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-c942982|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-c92563e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-cc91d93|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-69f9547|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-9b0eb79|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-b160e2c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-b7f0f1d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-15de796|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-80acc0e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/00/54/32110054_4ace17f1467de66160c57f431c3cce4a-8b8eff5","Excelente oportunidad, Casa en condominio La Guácima - Alajuela.","House consists of comfortable spaces for the enjoyment of your family, in an atmosphere of total ...","3 Bedrooms","3 Bathrooms","2 Vehicles","2010s","130 m²","buy","active","CRC","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/excellent-choice-house-in-condo-la-guatima-alajuela/32110054"
"Alajuela","San Mateo","","House","950","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/03/28/86/32032886_f7a779e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/03/28/86/32032886_4d61f84|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/03/28/86/32032886_aa1339b|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/03/28/86/32032886_0f07a90|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_4d61f84|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_aa1339b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_a27a918|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_a0ac452|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_a406c84|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_302fd0b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_b9d627e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_fae7134|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_69936b0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_5d5e96b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_e13ea42|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_ef89bab|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_d66faa4c9193e7cdc76abae36f5ffe7b-869e951|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_d66faa4c9193e7cdc76abae36f5ffe7b-1938612|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_d66faa4c9193e7cdc76abae36f5ffe7b-594f75e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_d66faa4c9193e7cdc76abae36f5ffe7b-dff8089|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_69690f1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_0f07a90|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/03/28/86/32032886_f7a779e","Retiro Tropical Privado con Árboles Frutales en San Mateo","Located in the peaceful community of San Mateo, this beautiful property offers the perfect ...","2 Bedrooms","1 Bathroom","3 Vehicles","","75 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/private-tropical-retreat-in-san-mateo/32032886"
"Alajuela","Alajuela","San Rafael","House","111","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/95/71/86/31957186_bc9a5f3|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/95/71/86/31957186_c54bd7f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/95/71/86/31957186_9cea568|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/95/71/86/31957186_1736751|https://photos.encuentra24.com/t_user_logo/v1/users/logo/11/13/16/1113164_1b2f5e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_c54bd7f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_9cea568|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_c4d3cf5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_d92c3df|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_a60ec47|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_0cebb00|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_b0d4ff7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_b6e01dc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_00db064|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_116366e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_0b5d066|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_8c9f357|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_1736751|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/95/71/86/31957186_bc9a5f3","Houses in San Rafael | For Sale | Opportunity to buy your one-story house in Alajuela, Concasa. : 2 rooms, 75 m2, CRC 57000000.00","","2 Bedrooms","2 Bathrooms","2 Vehicles","","75 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/opportunity-to-buy-your-one-story-house-in-alajuela-concasa/31957186"
"Alajuela","Alajuela","Guacima","Land","","","Urban","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/22/74/32422274_9d58701|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/22/74/32422274_47ac291|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/22/74/32422274_6f052e2|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/22/74/32422274_02a4462|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/22/74/32422274_47ac291|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/22/74/32422274_6f052e2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/22/74/32422274_52cd76d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/22/74/32422274_32c1524|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/22/74/32422274_4f033f5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/22/74/32422274_97f3ef5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/22/74/32422274_02a4462|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/22/74/32422274_9d58701","Venta de Lote en la Guacima - Hacienda Los Reyes – 880 m²","Spectacular 880 m² lot for sale in Los Manzanos, located within the prestigious Ciudad Hacienda Los ...","","","","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/prime-880-m-flat-lot-for-sale-hacienda-los-reyes-la-guacima/32422274"
