province,canton,district,property_type,property_area,utility,environment,accessibility,terrain,legal_status,price_millions,monthly_price,whatsapp,images,title,description,bedrooms,bathrooms,parking,year_built_range,construction_area,transaction_type,listing_status,currency,source_url
"San José","Escazú","San Rafael","Condo","","","Mountain","","","","","2400","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/53/87/12/32538712_2d3f7c0|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/12/50/52/32125052_8187cd7a0a1d60173a8aefae0b2206a4-7f1fb00|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/67/42/32506742_880b46|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/47/99/72/32479972_55024c5|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/28/59/48/22/28594822_808e4e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/40/72/62/32407262_3f748cb3530856913a387d18265d5b10-78a2d11|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/28/78/02/32287802_5d02e1a29d7586fc7547f0f7233dd291-ab39779|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/30/19/26/05/30192605_e3aed2|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/66/18/39/31661839_3602011|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/99/24/10/31992410_3f0c199|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/14/75/10/60/14751060_247a25|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/68/86/57/31688657_5a3db4|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/85/64/07/31856407_d1416a|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/21/63/78/21/21637821_158e30","APART / ESCAZU/ VALLE ARRIBA PENTHOUSE VISTA 220* PRECIO $2500","Penthouse Exclusivo en Valle Arriba, Escazú <br /> <br /> Una de las mejores vistas panorámicas del Área Metropolitana <br /> <br /> <br /> Ubicado en Valle Arriba, uno de los condominios más exclusivos y cotizados de Escazú, este espectacular penthouse ofrece una combinación única de amplitud, privacidad y una vista verdaderamente incomparable de aproximadamente 190 grados sobre San José, las montañas y el Valle Central. <br /> <br /> Con 205 m² de construcción, esta propiedad se distingue por su excelente distribución, acabados de alta calidad y una ubicación privilegiada en el que muchos consideran el edificio con las mejores vistas de Escazú. <br /> <br /> Distribución y características: <br /> <br /> Amplia sala y comedor con ventanales de piso a cielo que integran el interior con una hermosa terraza. <br /> <br /> Terraza ideal para disfrutar del amanecer, el atardecer y las luces de la ciudad. <br /> <br /> Cocina funcional equipada con refrigeradora, plantilla empotrada y lavadora de platos. <br /> <br /> 3 cómodos dormitorios con excelente iluminación natural. <br /> <br /> Dormitorio principal con vista panorámica y amplio baño. <br /> <br /> Cuarto y baño de servicio. <br /> <br /> 2 espacios de parqueo bajo techo. <br /> <br /> Bodega de gran tamaño. <br /> <br /> Excelente ventilación e iluminación natural en todo el apartamento. <br /> <br /> Amenidades y ubicación: <br /> <br /> Valle Arriba es reconocido por su seguridad, privacidad y estratégica ubicación en Escazú, a pocos minutos de: <br /> <br /> Multiplaza Escazú <br /> Hospital CIMA <br /> Avenida Escazú <br /> Restaurantes, supermercados y servicios de primer nivel <br /> Área: <br /> <br /> 205 m² <br /> <br /> Precio de alquiler: <br /> <br /> US$2,500 mensuales <br /> <br /> Contacto <br /> <br /> Sady Méndez <br /> Real Estate 505 <br /> <br /> <br /> Viva en un penthouse único, con una vista privilegiada y en una de las mejores ubicaciones de Escazú. Ideal para quienes buscan exclusividad, confort y una experiencia residencial de primer nivel.","","","","","","rent","active","USD","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/apart-escazu-valle-arriba-penthouse-vista-220-precio-2500/32446440"
"San José","San José","Mata Redonda","Condo","","Electricity|Water","Mountain","2WD Accessible","","","","1150","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/54/12/29/32541229_b27a8e1|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/45/82/79/32458279_ec2b206ba9dc20420206e289fafc1a96-58c28ce|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/41/98/09/32419809_9d55a2846c66b539cc9a4261d5ce4f4e-a77a3b3|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/43/92/99/32439299_a27eecba7ccf474bb87cae93169e2241-f4ef052|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/18/59/19/31185919_1bb283|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/64/03/28/31640328_5a903c|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/52/97/88/32529788_a6e4930a476d29e78f5f9f5cccc2352b-7589318|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/41/12/89/32411289_152b041|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/11/01/36/32110136_6b4f3b2|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/96/19/78/31961978_b4784b1|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/29/96/70/56/29967056_a822dc|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/17/05/89/31170589_3b82a7|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/51/80/34/31518034_fcb351|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/79/86/38/31798638_3fe751","Totalmente Amueblado/ Apto de 1 habitación en condominio Núcleo Sabana/ Vista al atardecer/","ALQUILER apto amueblado en condominio Núcleo Sabana/ Vista a las montañas y al atardecer <br /> <br /> Precio: $1150 con cuota de mantenimiento + depósito de garantía $1150 <br /> <br /> 1 hab/ 1 baño/ 1 parqueo / amueblado <br /> <br /> No mascotas <br /> <br /> Aura Sarria <br /> Asesora inmobiliaria <br /> <br /> <br /> Ubicación estratégica: <br /> <br /> Situado en un punto privilegiado, cerca del centro de San José pero lejos del bullicio de la ciudad. Fácil acceso a las principales autopistas, Próspero Fernández. Además, se encuentra a pocos minutos del Parque Metropolitano La Sabana, el pulmón verde de la ciudad, rodeado de restaurantes, hoteles, bancos y más. <br /> <br /> Características del apartamento: <br /> <br /> - área : apto 45 m² + parqueo 14 m² <br /> - Diseño abierto con cocina, comedor y sala integrados. <br /> - Cocina con muebles de alta calidad y sobre de cuarzo blanco. <br /> - 1 Habitación con espacio para cama queen, clóset, ventana de piso a techo y screen y balck out en ventana. <br /> - 1 Baño equipado con mampara, espejo y mueble con lavamanos empotrado. <br /> - Amplia área de lavandería con pila y centro de lavado. <br /> - Balcón con linda y tranquila vista hacia zonas verdes y hacia el atardecer <br /> -Un parqueo techado <br /> - Agua caliente por medio de paneles solares <br /> <br /> Iluminación y ventilación ideales: El apartamento goza de una excelente entrada de luz natural en todos sus espacios. <br /> <br /> Amenidades del condominio Núcleo Sabana: <br /> <br /> - Amplio gimnasio con equipo de última tecnología. <br /> - Dos piscinas: una recreativa y otra con carriles de nado. <br /> - Varias zonas de co-working, perfectas para trabajar desde casa. <br /> -Cinema y sala de juegos para entretenimiento. <br /> - Zonas de BBQ ideales para compartir con familia y amigos. <br /> - Exclusiva zona gastronómica con una amplia oferta de restaurantes. <br /> - Zona comercial y supermercado de conveniencia. <br /> - Seguridad y conserjería 24/7 para mayor tranquilidad. <br /> <br /> ""¡Solo este mes! Disponible inmediato "" <br /> <br /> ¡Vive con estilo y comodidad en Núcleo Sabana! <br /> <br /> Contáctanos para más información o para agendar una visita. <br /> <br /> Aura Sarria <br /> Asesora inmobiliaria","","","","","","rent","active","USD","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/totalmente-amueblado-apto-de-1-habitacion-en-condominio-nucleo-sabana-vista-al-atardecer/32010156"
"Heredia","Heredia","Ulloa","Condo","","","Urban","","","","","450000","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/46/64/84/32466484_da226403b81d545e6c94c32878bd5e15-8fc6e7e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/09/68/44/32096844_6526437b9866a2d0c60479c460fe620a-5da55d5|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/35/29/44/32352944_4c72010|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/32/42/34/32324234_739af4374850372f8a9ef4d8f802a5c3-bb267b7|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/57/79/13/31577913_21e54f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/19/61/43/32196143_7219be0037a035e3fec4185e3bb748e4-0fbb78e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/07/33/33/32073333_c494de6|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/29/11/93/32291193_c97e2f16aeb1c13d4e6310d46aec4bde-b6383c0","1 habitación 1 baño 1 parqueo - Condominio Bambú 106 Piso 15","Se alquila lujoso apto Bambú 106 - Piso 15. Excelente ubicación, vistas y amenidades incluidas. Monto de alquiler CRC450,000 por mes. <br /> <br /> - 1 habitación <br /> - 1 baño completo <br /> - 1 espacio de parqueo bajo techo <br /> <br /> Más de 30 amenidades incluyendo: <br /> - Piscina semi-olímpica y para niños <br /> - Gimnasio equipado <br /> - BBQ <br /> - Senderos <br /> - Parque y áreas de mascotas <br /> - Plaza Comercial <br /> - Play Ground <br /> - Roof Top <br /> <br /> El apartamento se encuentra cerca de la autopista General Cañas a tan solo 5 minutos del aeropuerto internacional y, a 15 minutos del centro de San José. Además, se encuentra muy cerca de importantes zonas francas, el Centro Nacional de Convenciones, Centros Comerciales y restaurantes.","","","","","","rent","active","CRC","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/1-habitacion-1-bano-1-parqueo-condominio-bambu-106-piso-15/32290738"
"Heredia","Belén","La Asunción","Condo","","","Urban","","","","","1650","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/48/71/60/32487160_652b719|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/47/97/90/32479790_566fe81efe3767afc5b0699f93b71ea8-1a5a906|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/40/04/19/32400419_04e5a3f4c42fffa44852dceb7f14040c-f77af5d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/47/35/18/32473518_49d111a94e44415541493dc3138c5d33-9195cb2|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/12/46/98/32124698_620afed|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/87/17/32508717_2d072444c9600efb5f2db84bca42ac44-b61be78|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/85/77/32508577_dbaa263e64e3b9a606a1fab4e908127d-8dedd76|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/47/47/93/32474793_8e5c54d90ad9533278d8f980290c7d87-7cb4b00|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/95/43/32449543_120f3809dc3fb53e1995e2811ed2d2b9-dba8a9e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/96/53/32449653_43ed31644a7c79962177ccf382cc3e62-25c2859|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/57/79/13/31577913_21e54f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/87/17/32508717_2d072444c9600efb5f2db84bca42ac44-b61be78|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/40/57/13/32405713_914d930|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/99/12/24/31991224_d008bf12d0efa2b0af3e24cd2c62e273-288110b","ALQUILER Casa de 3 Dormitorios en Condominio, Los Arcos, Heredia","Casa moderna pet friendly ubicada en un super condominio con 25 amenidades. El condominio se ubicada cerca de múltiples zonas francas y diversos servicios cercanos. El alquiler incluye la cuota condominal. <br /> La casa dispone de: <br /> • 2 cuartos con closet. Cuarto principal con baño completo. <br /> • 2.5 baños. <br /> • 2 cocheras con conexión para vehículos eléctricos. <br /> • Sala, cocina y comedor integrados y con finos acabados. <br /> • Cuarto de pilas. <br /> • Amplia terraza y jardín posterior con zacate natural. <br /> <br /> 25 amenidades para disfrutar en el condominio: <br /> • Gimnasio equipado y cancha de tenis. <br /> • Piscina con carril de nado e infantil. <br /> • Casa club y sala de coworking. <br /> • Área de BBQ y juegos. <br /> • Sala de masajes, área de hidromasaje y de yoga. <br /> • Sala de cine. <br /> • parque de mascotas… y más. <br /> <br /> Ubicación es estratégica, cerca de: <br /> • Mall Real y Plaza Cariari, Oxigeno. <br /> • Country Club Cariari y American International School. <br /> • Centros de negocios: El Cafetal, AFZ, Global Park, Ultrapark. <br /> <br /> <br /> OSCANOA GUERRERO Real Estate <br /> Confianza y experiencia a tu servicio <br /> Citas al:","","","","","","rent","active","USD","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-casas/alquiler-casa-de-3-dormitorios-en-condominio-los-arcos-heredia/32473647"
"San José","San José","Merced","Condo","","Internet|Cable","Urban","2WD Accessible","","","","1650","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/53/57/56/32535756_7df408c2dc9697dc5ae5db161955af8b-4218e86|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/30/09/26/73/30092673_5bff97|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/23/51/01/03/23510103_85d990|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/93/63/62/31936362_1e90e0b09aba2956d27db929a8678270-f4d6899|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/19/88/98/32198898_ab18932|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/30/98/59/27/30985927_988329|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/88/02/68/31880268_5b79ed|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/28/36/71/31283671_f601007|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/52/40/40/31524040_1d5d55|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/28/34/32/31283432_cbd672|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/33/38/26/32333826_ea2a8a9|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/52/40/04/31524004_908f9b|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/28/36/83/31283683_5fa923|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/95/12/59/31951259_22749e4","Se alquila apartamento con vista panorámica en Núcleo Sabana","Se alquila apartamento con vista panorámica en Núcleo Sabana <br /> -Totalmente amoblado, ideal para extranjeros y contratos corporativos. <br /> -Ubicado en piso 19, con vista al atardecer. <br /> -Incluye internet y cuota condominal. <br /> <br /> En el prestigioso Condominio Núcleo Sabana se ofrece en alquiler un elegante apartamento totalmente amoblado, ideal para extranjeros o contratos corporativos que buscan comodidad y exclusividad en el corazón de la ciudad. Situado en el piso 19, este inmueble brinda una espectacular vista panorámica al atardecer desde su balcón, acompañado de una excelente iluminación natural que realza cada espacio. <br /> <br /> El apartamento cuenta con dos habitaciones, la principal con baño privado y walk-in closet, además de una habitación secundaria con closet. Dispone de dos baños completos, sala y comedor integrados, cocina completamente equipada, cuarto de pilas y un área destinada para oficina, perfecta para quienes requieren un espacio de trabajo en casa. <br /> <br /> Los residentes disfrutan de modernas amenidades como piscina, gimnasio equipado, sala multimedia tipo cine, salón de juegos, ajedrez gigante, parque de mascotas, parque infantil, áreas sociales y de coworking, así como seguridad 24/7 con accesos controlados y parqueo para visitas. El condominio ofrece también elevadores de alta velocidad y un mercado gastronómico con restaurantes, mini market, peluquería y barbería, creando un entorno práctico y sofisticado. <br /> Su ubicación estratégica garantiza cercanía a supermercados, fácil acceso a transporte público y excelente conexión con La Sabana, Rohrmoser y las principales vías de la ciudad. Se permiten mascotas pequeñas y educadas, lo que lo convierte en una opción versátil para distintos estilos de vida. <br /> <br /> El precio de alquiler incluye internet, cable y la cuota condominal, con un depósito equivalente a un mes de renta. Este apartamento representa una oportunidad única para quienes buscan vivir con confort, seguridad y una vista privilegiada en el centro urbano. <br /> <br /> Equipamiento incluido: <br /> • Apartamento totalmente amueblado <br /> • Cama King en habitación principal <br /> • Aire acondicionado en ambas habitaciones <br /> • Lavadora y secadora <br /> • Cocina equipada con electrodomésticos <br /> • 2 televisores Samsung de 50” y 55” <br /> • Internet y cable incluido <br /> <br /> Año: 2022","","","","","","rent","active","USD","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/se-alquila-apartamento-con-vista-panoramica-en-nucleo-sabana/32146639"
"San José","Escazú","San Antonio","House","","","Urban","2WD Accessible","","","","2200","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/47/55/01/32475501_d8f1341ef5ab533198735e9a36f0e807-ca1d5eb|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/64/38/90/31643890_ce2399|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/41/09/90/31410990_d65818|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/38/29/08/32382908_55be9b0d0edd4240fe8ed83632477078-f3dbbcf|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/85/95/47/31859547_a5f4aa|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/51/19/56/32511956_9abfed4208fa5ee67cf2f35af662f070-f5f283f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/33/14/75/32331475_9e7a734e74e888250d4a6961d4dd80e5-fe67df5","Casa en Alquiler en Guachipelin","Casa en Alquiler en Guachipelín de Escazú | DISPONIBLE A PARTIR DEL 1ro de Julio |Excelente Ubicación | SIN AMUEBLAR<br /> <br /> Hermosa y bien cuidada casa en alquiler ubicada en Guachipelín de Escazú, en una zona privilegiada entre Multiplaza Escazú y Lindora. Su ubicación estratégica permite fácil acceso a colegios privados de prestigio, centros comerciales, supermercados, restaurantes y principales vías de acceso.<br /> <br /> Detalles de la propiedad:<br /> <br /> Área de construcción: aprox. 200 m²<br /> <br /> Habitaciones: 3<br /> <br /> Baños: 2.5<br /> <br /> Parqueo: Garaje cerrado para 2 vehículos<br /> <br /> Aire acondicionado en todas las habitaciones y en la Sala<br /> <br /> Distribución:<br /> <br /> Planta Baja<br /> <br /> Sala y comedor con excelente iluminación natural<br /> <br /> Cocina amplia con despensa<br /> <br /> Medio baño para visitas<br /> <br /> Cuarto de pilas<br /> <br /> Terraza/patio techado, ideal para compartir<br /> <br /> Garaje cerrado para dos vehículos<br /> <br /> Planta Alta<br /> <br /> Dormitorio principal con baño privado<br /> <br /> Dos dormitorios secundarios que comparten un baño completo<br /> <br /> Todas las habitaciones con aire acondicionado<br /> <br /> Precio de alquiler: $2,200<br /> <br /> Ideal para familias o profesionales que buscan comodidad, excelente ubicación y una propiedad sin cuotas adicionales en una de las zonas más cotizadas de Escazú.<br /> <br /> Para más información o coordinar una visita, contácteme por mensaje directo.","","","","","","rent","active","USD","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-casas/casa-en-alquiler-en-guachipelin/32495506"
"San José","Escazú","San Rafael","Condo","","Water","Urban","","","","","1900","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/53/05/39/32530539_3acd4c2eda37c4d6dc494bcb2565d981-7db062a|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/53/04/99/32530499_ecb3cb8b785c0df8cd115d9f3742d75d-9fed228|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/48/97/69/32489769_a9b75c1fe232e2c64349008d9f609a59-3425e4e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/43/80/89/32438089_cba1bad|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/33/26/79/32332679_cbb9358|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/01/91/59/32019159_5306fbfda6ad395386fb007aebcb7a3f-5aea8fe|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/51/08/78/32510878_8c0280f9fcb7574cce538dfcb258dfe5-4ca7791|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/55/02/32425502_f4c5d4b|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/55/06/32425506_5e6771e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/51/48/17/32514817_d771e919f724d51b0510c92e43c0a8aa-5ac250d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/51/99/91/32519991_3e2d7b5|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/36/51/28/32365128_226e23f12dcecb53f450df1fda4e528c-62d8fc1|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/36/51/30/32365130_a954382|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/28/85/06/32288506_67b09170fa8ebc25f5e279e7ba6b98ee-d292916","Casa Nueva en CAIA Homes Bello Horizonte Escazú // 3 Hab / Línea Blanca / Amenidades","Hermosa Casa nueva en el exclusivo Condominio CAIA Homes, ubicado en Bello Horizonte de Escazú. <br /> Excelente ubicación, cerca de oficentros, restaurants, comercios y principales vías de acceso. <br /> Con acabados modernos, construcción 100% en concreto y línea blanca completa. <br /> Cuenta con 161 m² de construcción. <br /> *Se acepta mascota educada. <br /> <br /> Datos generales: <br /> 3 Dormitorios, 2.5 Baños. <br /> <br /> Distribución: <br /> Primer nivel <br /> • Cochera para 2 vehículos con cargador eléctrico. <br /> • Medio baño de visitas. <br /> • Amplia sala-comedor. <br /> • Moderna cocina con isla y sobres de granito. <br /> • Refrigeradora, cocina vitrocerámica de 4 discos y lavaplatos. <br /> • Área de lavandería con lavadora y secadora. <br /> • Bodega. <br /> • Terraza y hermoso jardín con riego automático. <br /> • Sistema de respaldo de agua potable. <br /> <br /> Segundo nivel: <br /> • Sala de TV. <br /> • Dormitorio principal con A/C, baño privado y walk in closet. <br /> • 2 Dormitorios secundarios. <br /> • 1 baño completo adicional. <br /> <br /> Amenidades Premium: <br /> • Seguridad 24/7 <br /> • Piscina semiolímpica y piscina recreativa <br /> • Gimnasio totalmente equipado <br /> • Spa <br /> • Casa club <br /> • Área BBQ <br /> • Coworking <br /> • Fire Pit <br /> • Mesa de billar y ping pong <br /> • Play room para niños <br /> • Juegos infantiles <br /> • Pet Park <br /> <br /> Alquiler: $1900.- <br /> *más depósito por el mismo monto. <br /> <br /> Contáctenos para más información.","","","","","","rent","active","USD","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-casas/casa-nueva-en-caia-homes-bello-horizonte-escazu-3-hab-linea-blanca-amenidades/31938893"
"Heredia","Santa Bárbara","","Condo","","Water|Internet|Cable","","","Steep Slope","","","400000","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/31/61/98/32316198_a546972","Alquiler de Apartamento Amueblado independiente Heredia, Santa Barbara","Vive tranquilo, vive cómodo… vive como mereces. <br /> <br /> ¿Buscas un apartamento acogedor, privado y en una ubicación estratégica? <br /> Este espacio es perfecto para una persona sola o pareja que valore la calma, la seguridad y la comodidad en su día a día. <br /> <br /> Ubicado en una zona sumamente tranquila y cerca de bancos, supermercados y el aeropuerto, este apartamento te ofrece una experiencia de vivienda práctica y sin complicaciones. <br /> <br /> Disfruta de: <br /> Rancho BBQ ideal para compartir y relajarte <br /> Cochera para un vehículo <br /> Portón eléctrico y total privacidad <br /> Dos pantallas con TV por cable <br /> Internet de fibra óptica de 100 megas <br /> Servicios incluidos: agua, mantenimiento, cable e internet <br /> <br /> Además, los apartamentos son totalmente independientes, brindándote mayor tranquilidad, libertad y confort. <br /> <br /> Un hogar funcional, accesible y listo para que simplemente llegues a disfrutarlo. <br /> <br /> Agenda tu visita y descubre tu próximo espacio ideal para vivir.","","","","","","rent","active","CRC","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/alquiler-de-apartamento-amueblado-independiente-heredia-santa-barbara/31666495"
"Heredia","Belén","San Antonio","Condo","","Water|Internet|Cable","Riverfront","","","","","1200","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/47/16/64/32471664_dd02704","ALQUILER DE APARTAMENTO TOTALMENTE AMUEBLADO - VILLAS DE CARIARI","Detrás del Hotel Double Tree Cariari Hilton. Ubicado en Villas de Cariari, con seguridad las 24 horas . <br /> Muy cerca de todo, Aeropuerto, San José, Heredia, Alajuela, etc. <br /> Consta de 1 dormitorio, 1 baño, cocina, con lavadora, secadora, refrigerador, cocina , hornito, licuadora, etc. <br /> Sala , comedor, escritorio . <br /> Un departamento muy lindo y cómodo. <br /> Parqueo. <br /> Precio por mes US$ 1.200 dólares, <br /> Depósito de garantía en efectivo, <br /> US$ 1.200 dólares. <br /> Contratos por un año. <br /> Está ubicado en primera planta, 5-3. <br /> Incluido en el precio: Mantenimiento, Internet, cable TV, agua, y un plus, que consiste en: Una vez a la semana, limpieza profunda , con lavado de sábanas y toallas. <br /> Tiene zonas verdes muy bonitas . <br /> NO SE ACEPTAN MASCOTAS .","","","","","","rent","active","USD","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-de-apartamento-totalmente-amueblado-villas-de-cariari/32494657"
"Heredia","Heredia","","Commercial Property","","","Urban","","","","","650","","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/43/73/08/31437308_9b2813|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/21/05/02/32210502_6145011c89bf2b6c9d4f51c1b229dd3f-40da339|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/67/58/32446758_dab1e80|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/43/72/54/31437254_8e94c9|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/28/00/11/32280011_aa57420a5f5e3c717b2228ef463600fc-9ac4265","Se alquilan espacios comerciales en Paseo de las Flores","Impulsa tu negocio con el nuevo precio especial <br /> <br /> Tenemos la oportunidad perfecta: <br /> <br /> Ubicación privilegiadas con alto tráfico peatonal y excelente visibilidad. <br /> <br /> Espacios desde los 7 m² disponibles, ideales para kioskos/vitrinas de moda, tecnología, servicios, gastronomía y más. <br /> <br /> Precio tan solo desde $650/mes, con condiciones flexibles para arrendatarios serios y proyectos comerciales con proyección. <br /> <br /> Beneficios: <br /> <br /> Ubicación estratégica dentro del centro comercial <br /> <br /> Zona de alto flujo de visitantes <br /> <br /> Seguridad 24/7 <br /> <br /> Parqueoss disponibles <br /> <br /> Cercanía a marcas reconocidas <br /> <br /> Disponibilidad en primer y segundo nivel <br /> <br /> ¡Instala tu negocio en un entorno comercial consolidado y de alto movimiento! <br /> <br /> Contáctanos para más información o agenda tu visita al","","","","","","rent","active","USD","https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-comercios/se-alquilan-espacios-comerciales-en-paseo-de-las-flores/31437234"
