province,canton,district,property_type,property_area,utility,environment,accessibility,terrain,legal_status,price_millions,monthly_price,whatsapp,images,title,description,bedrooms,bathrooms,parking,year_built_range,construction_area,transaction_type,listing_status,currency,source_url
"Cartago","Oreamuno","San Rafael","House","Ask the seller","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-c21c524|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-889ec6a|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-e48c1c2|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-2c1e972|https://photos.encuentra24.com/t_user_logo/v1/users/logo/11/38/66/113866_dedef2|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-889ec6a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-e48c1c2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-fa0ffbd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-64dd88b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-967bb6f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-ae85684|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-ce82397|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-137e451|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-5523935|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-be27f69|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-881f298|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-f4d17ec|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-84d79a7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-907964c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-8a54eaf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-f31635e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-2c1e972|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/91/39/32449139_7b94bbca954bca93b1005abd51de66f3-c21c524","Houses in San Rafael | For Sale | Beautiful 2-Story House with Exclusive Design in Lotificación, Takiscu, Oreamuno, Cartago : 4 rooms, 320 m2, USD 550000.00","","4 Bedrooms","4 Bathrooms","4+ Vehicles","2010s","320 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/beautiful-2-story-house-with-exclusive-design-in-lotificacion-takiscu-oreamuno-cartago/32449139"
"Cartago","El Guarco","San Isidro","Land","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/59/02/31725902_7f6f78|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/59/02/31725902_6368fc|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/59/02/31725902_fe35b0|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/59/02/31725902_7eef67|https://photos.encuentra24.com/t_user_logo/v1/users/logo/11/38/66/113866_dedef2|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/59/02/31725902_6368fc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/59/02/31725902_fe35b0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/59/02/31725902_0bfc2d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/59/02/31725902_b7ca6c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/59/02/31725902_5ccf50|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/59/02/31725902_8a26aa|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/59/02/31725902_06c9fb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/59/02/31725902_7eef67|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/59/02/31725902_7f6f78","Land San Isidro | venta | LAST 365m2 LOT FOR SALE Con Vistas del Irazú San Isidro GuarcoCartago : USD 102200.00","","","","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/last-365m2-lot-for-sale-con-vistas-del-irazu-san-isidro-guarcocartago/31725902"
"Cartago","Paraíso","Orosí","Farm","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/58/87/36/31588736_6ce70e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/58/87/36/31588736_8a0dc5|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/58/87/36/31588736_c1efa0|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/58/87/36/31588736_d9ee31|https://photos.encuentra24.com/t_user_logo/v1/users/logo/20/95/76/209576_880001|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_8a0dc5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_c1efa0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_0517c2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_6c90b4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_80969b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_6d9ac4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_bc75c8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_43dc3a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_cc1464|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_298244|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_af5461|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_d9ee31|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/58/87/36/31588736_6ce70e","Ganga 13.9 hectáreas Tapanti, Paraíso,Cartago","Dream Property in Tapantí – Orosí Valley, Costa Rica | 13.9 hectares with stunning views and ...","","","","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-farms/dream-property-in-tapanti-orosi-valley-costa-rica/31588736"
"Cartago","","","House","102","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/84/61/88/31846188_b24a38|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/84/61/88/31846188_888403|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/84/61/88/31846188_a32541|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/84/61/88/31846188_934cd3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_888403|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_a32541|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_84f984|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_7a42d8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_2bd270|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_474d89|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_5debc8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_e11b73|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_22b3eb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_fdf516|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_48a6fc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_6d8291|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_1818be|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_89872b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_6587a7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_eb744c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_edb2ed|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_fab0e6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_934cd3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/61/88/31846188_b24a38","Houses in Cartago | For Sale | Venta de casa nueva en San Rafael de Oreamuno (desde 72 millones) : 3 rooms, 102 m2, CRC 72000000.00","","3 Bedrooms","1 Bathroom","2 Vehicles","","102 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/venta-de-casa-nueva-en-san-rafael-de-oreamuno-desde-72-millones/31846188"
"Cartago","La Unión","","House","140","","Riverfront","","","","95","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/40/47/31724047_c7cef7|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/40/47/31724047_45f142|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/40/47/31724047_fdbbba|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/40/47/31724047_3e0078|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_45f142|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_fdbbba|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_ef4811|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_a44cc1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_c7b1c0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_f994b2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_a2367f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_b23122|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_8bf94d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_f1609c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_93b75c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_1b41a8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_f21865|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_4191e1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_d40653|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_1dd130|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_3e0078|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/40/47/31724047_c7cef7","Venta de casa en Tres Ríos, Residencial Paso Real","Te presentamos esta hermosa casa ubicada en La Unión, Cartago, ideal para familias que buscan ...","3 Bedrooms","2 Bathrooms","2 Vehicles","","185 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/venta-de-casa-en-tres-rios-residencial-paso-real/31724047"
"Cartago","La Unión","","Land","","","","","","","185","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/29/37/20/32293720_77443a6|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/29/37/20/32293720_da6cea2|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-98313ea|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-910e2d6|https://photos.encuentra24.com/t_user_photo/v1/users/photo/13/42/40/99/13424099_81c348|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_da6cea2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-98313ea|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-d8ae90d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-1131305|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-1e9346b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-c79f897|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-4b43cba|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-f07c45a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-d840f1c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_cd576eb80458b1104a1f98326c481b21-910e2d6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/29/37/20/32293720_77443a6","SE VENDE FINCA EN CARTAGO- CORIS","Located just 15 minutes from the new Cartago Hospital and only 20 minutes from Zapote, this ...","","1 Bathroom","","","","buy","active","CRC","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/farm-for-sale-in-cartago-coris/32293720"
"Cartago","La Unión","Tres Ríos","Condo","225","","Riverfront","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/48/17/32494817_bb3d112|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/48/17/32494817_f22934f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/48/17/32494817_944e160|https://photos.encuentra24.com/t_user_photo/v1/users/photo/12/77/10/16/12771016_fbce4d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_bb3d112|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_f22934f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_88312b3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_7d83fb9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_1110d24|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_0d670e8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_31b76b4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_4c78b04|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_7a2203c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_66c5783|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_4ecf44d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_ab2946c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_e11169a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_7b86976|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_a93b85b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_1fd38e1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_ac77fb9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_14ab1c1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_adecedf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/48/17/32494817_944e160","Houses in Tres Ríos | For Sale | Brand new home for sale. Condo Distrito San Juan, Tres Rios, La Unión, Cartago : 4 rooms, 225 m2, CRC 173000000.00","","4 Bedrooms","3 Bathrooms","3 Vehicles","2020+","225 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/brand-new-home-for-sale-condo-distrito-san-juan-tres-rios-la-union-cartago/32494817"
"Cartago","La Unión","Tres Ríos","Condo","","","Gated Community","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/56/85/54/31568554_629734|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/56/85/54/31568554_53d103|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/56/85/54/31568554_273850|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/56/85/54/31568554_9f4e65|https://photos.encuentra24.com/t_user_logo/v1/users/logo/25/67/66/256766_a5a433|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_53d103|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_273850|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_c556cf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_e6b31b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_b13cd6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_2c88d9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_51f2ac|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_fe8875|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_52ba3f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_968ed6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_477abc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_d88ced|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_448c00|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_9f4e65|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/56/85/54/31568554_629734","San Ramón de Tres Ríos, lote en condominio","Este lote además de ser espectacular, es el último en este condominio, es una comunidad totalmente ...","","","","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/san-ramon-de-tres-rios-lote-en-condominio/31568554"
"Cartago","La Unión","Tres Ríos","Condo","183","","Gated Community","","","","159","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/18/81/87/41/18818741_f922ba|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/18/81/87/41/18818741_ce6c90|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/18/81/87/41/18818741_c09503|https://photos.encuentra24.com/t_user_logo/v1/users/logo/42/95/42957_78874c|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/18/81/87/41/18818741_919adb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_ce6c90|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_919adb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_81fc4c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_4dde7c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_6b70d9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_7e2371|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_88b479|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_da7d7a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_00a026|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_b295b1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_d2d7c1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_5b4657|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_af3f30|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_f1db46|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_833877|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_2d6991|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_005042|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_1c7b79|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_c09503|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/18/81/87/41/18818741_f922ba","Venta de Amplia Casa 200 m2 en Condominio ,Tres Rios","Modern and Spacious Houses with Excellent Finishes in the best Area, Alta Plusvalía, Le Mejor ...","3 Bedrooms","3 Bathrooms","3 Vehicles","2020+","200 m²","buy","active","CRC","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/house-for-sale-in-residencial-5-min-de-walmart-curridabat/18818741"
"Cartago","Cartago","El Carmen","House","523","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-203b9c7|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-db266d7|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-1606247|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-8718c40|https://photos.encuentra24.com/t_user_photo/v1/users/photo/51/95/01/5195013_e9da85|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-db266d7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-1606247|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-5c1a65d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-2d3927d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-0052df4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-a0010aa|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-822ee87|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-ca7f61d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-5d0c599|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-bd6463d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-54e6880|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-689e827|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-0666d38|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-22e2b07|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-8718c40|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/48/99/94/32489994_8c613ba00430b94d1b51147877509924-203b9c7","Houses in El Carmen | For Sale | Large house with garden and privacy in San Blas de Cartago : 4 rooms, 200 m2, CRC 115000000.00","","4 Bedrooms","3 Bathrooms","4+ Vehicles","2010s","200 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/large-house-with-garden-and-privacy-in-san-blas-de-cartago/32489994"
