title,province,canton,district,property_type,property_area,utility,environment,accessibility,terrain,legal_status,price_millions
XQ9V7_ZZZ_DELETE_ME_01,San Jose,Central San José,Carmen,house,500,"Agua|Electricidad","Urbano","Carretera Pavimentada","Flat","Propiedad Titulada",25
XQ9V7_ZZZ_DELETE_ME_02,San Jose,Central San José,Carmen,condo,1500,"Agua|Internet de Fibra","Vista a la Montaña","Accesible en 2WD","Mostly Flat","Plano Disponible",55
XQ9V7_ZZZ_DELETE_ME_03,Cartago,Paraiso,Cachi,land,25000,"Agua","Frente al Río","Requiere 4x4","River Valley","Propiedad Titulada",125
XQ9V7_ZZZ_DELETE_ME_04,Cartago,Turrialba,La Suiza,farm,100000,"Agua|Electricidad","Rural","Acceso Solo por Bote","Agricultural Terrain","Propiedad en Concesión",300
XQ9V7_ZZZ_DELETE_ME_05,Guanacaste,Santa Cruz,Tamarindo,land,8000,"Agua|Electricidad|Internet de Fibra","Frente a la Playa","Carretera Pavimentada","Cleared Land","Propiedad Titulada",500
XQ9V7_ZZZ_DELETE_ME_06,Puntarenas,Garabito,Jaco,commercial,3000,"Electricidad|Internet de Fibra","Urbano","Caminable","Build Ready","Financiamiento Disponible",250
XQ9V7_ZZZ_DELETE_ME_07,Limon,Pococi,Guapiles,house,900,"Agua|Séptico","Selva","Requiere 4x4","Jungle Terrain","Plano Disponible",75
XQ9V7_ZZZ_DELETE_ME_08,Heredia,Belen,San Antonio,condo,700,"Agua|Electricidad|Alcantarillado Municipal","Urbano","Caminable","Flat","Propiedad Titulada",90
XQ9V7_ZZZ_DELETE_ME_09,Alajuela,San Carlos,La Fortuna,cabin,1200,"Agua|Electricidad","Frente al Lago","Accesible en 2WD","Forested","Propiedad Titulada",180
XQ9V7_ZZZ_DELETE_ME_10,Cartago,Paraiso,Orosi,farm,60000,"Agua|Internet de Fibra","Vista a la Montaña","Requiere 4x4","Mountainous","Propiedad Titulada",400
