province,canton,district,property_type,property_area,utility,environment,accessibility,terrain,legal_status,price_millions,monthly_price,whatsapp,images,title,description,bedrooms,bathrooms,parking,year_built_range,construction_area,transaction_type,listing_status,currency,source_url
"Guanacaste","Santa Cruz","Playa Brasilito","House","562","","","","","","1","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/26/23/32502623_a48a605|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/26/23/32502623_cd4bbb3|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/26/23/32502623_a7ecf1b|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/26/23/32502623_5ccf278|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/26/23/32502623_cd4bbb3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/26/23/32502623_a7ecf1b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/26/23/32502623_36ad422|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/26/23/32502623_5ccf278|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/26/23/32502623_a48a605","Casa Mar Vista – Villa Moderna de Lujo con Piscina Infinita y Vista al Mar | Brasilito, Guanacaste","Welcome to Casa Mar Vista, a brand-new modern villa nestled in Brasilito, in the heart of ...","3 Bedrooms","4 Bathrooms","2 Vehicles","2020+","260 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/casa-mar-vista-modern-luxury-villa-with-infinity-pool-amp-ocean-views-brasilito-guanacaste/32502623"
"Guanacaste","Liberia","Liberia","Commercial Property","","","","","","","170","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-d040a3c|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/98/03/67/31980367_11e4938|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-253b502|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-33afb2b|https://photos.encuentra24.com/t_user_logo/v1/users/logo/68/73/78/687378_7eb498|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_11e4938|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-253b502|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-f98ce3f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-73be496|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-dacd01a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-d46dabf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-ea9dc34|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-97ce542|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-fd36704|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-4cbb091|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-4d73801|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-b1afc3d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-c1f2aec|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-40ff762|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-727fbde|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-451cb12|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-5b775d5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-6a87ee8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a5ece3d40cd-33afb2b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/03/67/31980367_4915b21a3b644470ca901a","PROPIEDAD COMERCIAL EN VENTA, LIBERIA, GUANACASTE","Corner property located on a main road in a high-traffic commercial area with excellent ...","","5+ Bathrooms","3 Vehicles","","","buy","active","CRC","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-commercial/commercial-property-for-sale-in-liberia-guanacaste/31980367"
"Guanacaste","Santa Cruz","Cuajiniquil","House","2902","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/79/53/50/31795350_05c90a|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/79/53/50/31795350_69ede8|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/79/53/50/31795350_a8d86c|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/79/53/50/31795350_240451|https://photos.encuentra24.com/t_user_logo/v1/users/logo/16/88/19/23/16881923_af130c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_69ede8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_a8d86c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_887512|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_6014ee|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_976e32|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_17e82e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_539649|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_007965|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_24d620|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_75572d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_d57704|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_ff7389|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_553a8a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_3123b7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_240451|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/79/53/50/31795350_05c90a","Houses in Cuajiniquil | For Sale | Ostional | REDUCED PRICE: 2Bed / 3Bath | Integrated Kitchen, Terrace and Pool : 2 rooms, 100 m2, USD 599000.00","","2 Bedrooms","3 Bathrooms","2 Vehicles","2020+","100 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/ostional-reduced-price-2bed-3bath-integrated-kitchen-terrace-and-pool/31795350"
"Guanacaste","Santa Cruz","Tamarindo","House","397","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/34/55/01/31345501_9b9d4c|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/34/55/01/31345501_c1633d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/34/55/01/31345501_78309c|https://photos.encuentra24.com/t_user_logo/v1/users/logo/12/20/66/33/12206633_ab0d70|https://photos.encuentra24.com/t_cnseal/v1594676252/cnseal/5f0cd41c4a555_Bildschirmfotocccbr.png|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_9b9d4c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_c1633d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_6cd6d7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_682821|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_a5c0e9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_6d3691|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_d86610|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_1c5fc0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_6d002b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_88dc82|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_e1f735|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_907be4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_54129f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_ef304f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_5e1ee1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_fe9b88|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/34/55/01/31345501_78309c","Casa de 4 habitaciones en Lomas de Santa Rosa – cerca de Tamarindo, ideal para vivir o rentar","Located in Lomas de Santa Rosa, Tamarindo (Guanacaste), this spacious 4-bedroom, 2-bathroom house is ...","4 Bedrooms","2 Bathrooms","1 Vehicle","","150 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/4-bedroom-house-in-lomas-de-santa-rosa-near-tamarindo-ideal-for-living-or-renting/31345501"
"Guanacaste","Santa Cruz","Tamarindo","Condo","8669","","","","","","1","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/28/17/56/81/28175681_81fd8f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/28/17/56/81/28175681_908461|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/28/17/56/81/28175681_612875|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/28/17/56/81/28175681_003509|https://photos.encuentra24.com/t_user_logo/v1/users/logo/12/20/66/33/12206633_ab0d70|https://photos.encuentra24.com/t_cnseal/v1594676252/cnseal/5f0cd41c4a555_Bildschirmfotocccbr.png|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_908461|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_612875|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_788e77|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_506d7e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_fc39da|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_e7b9e9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_f61543|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_376a09|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_660443|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_dc7375|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_c0fbf1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_46c08e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_750c76|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_d84205|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_b1d70f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_9b4d57|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_d33c7e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_479991|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_003509|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/17/56/81/28175681_81fd8f","Casa con piscina y 2 apartamentos con piscina en La Josefina, Guanacaste, Costa Rica","Discover this exquisite property in La Josefina, featuring a 3-bedroom, 3.5-bathroom villa with a ...","5+ Bedrooms","5+ Bathrooms","3 Vehicles","","310 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/house-with-pool-2-apartments-with-pool-in-la-josefina-guanacaste-costa-rica/28175681"
"Guanacaste","Santa Cruz","Tamarindo","House","Ask the seller","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/90/48/89/31904889_e7855f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/90/48/89/31904889_f790d1|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/90/48/89/31904889_ff6f27|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_e7855f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_f790d1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_2a38bc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_14220d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_c962a4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_a1a55b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_be8eb7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_2f84ef|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_221a41|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_9495c2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_bd1da7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_f3e8a0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_19ef9e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_29ad0e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_c202e7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_170b58|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_673793|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_e24230|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_f3414e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/90/48/89/31904889_ff6f27","Casa moderna con piscina privada en Pinilla – lista para habitar o invertir","Beautiful modern home located in San José de Pinilla, just 10 minutes from Avellanas, Mansita, ...","3 Bedrooms","4 Bathrooms","4+ Vehicles","","220 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/modern-home-with-private-pool-move-in-ready-or-investment-opportunity/31904889"
"Guanacaste","Bagaces","","Farm","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/83/80/87/31838087_1015bb|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/83/80/87/31838087_3e8106|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/83/80/87/31838087_2c2cfd|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/83/80/87/31838087_81bab1|https://photos.encuentra24.com/t_user_photo/v1/users/photo/14/75/55/22/14755522_f2c049|https://photos.encuentra24.com/t_cnseal/v1594676252/cnseal/5f0cd41c4a555_Bildschirmfotocccbr.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_3e8106|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_2c2cfd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_04e822|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_21929d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_535484|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_82cbfa|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_781ccf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_b3c8ac|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_a54837|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_0a9627|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_310780|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_a9400a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_a3af36|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_81bab1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/83/80/87/31838087_1015bb","Farms Bagaces | venta | VENTA de finca en Guanacaste : USD 357000.00","","","","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-farms/venta-de-finca-en-guanacaste/31838087"
"Guanacaste","Nandayure","Bejuco","House","","","Beachfront","","","","2","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/58/29/27/25582927_b1346d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/58/29/27/25582927_3435f80|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/25/58/29/27/25582927_95fde93|https://photos.encuentra24.com/t_user_logo/v1/users/logo/75/58/53/755853_a8892b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_b1346d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_3435f80|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_17709e2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_0e68694|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_8ba354d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_2934a8a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_48c80e0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_6fc7a6f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_bc6e4a2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_29f8037|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_38a4314|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_0b8e744|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_05ad741|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/25/58/29/27/25582927_95fde93","CASA PLAYA PUNTA ISLITA GUANACASTE 3 HABITACIONES VENTA COD EM461","A luxurious fully equipped 3 bedroom, 3.5 bathroom Greace Style Villa with living room, full ...","","4 Bathrooms","4+ Vehicles","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-beachfront-homes-and-lots/punta-islita-beach-house-guanacaste-3-bedrooms-for-sale-cod-em461/25582927"
"Guanacaste","Nicoya","Nosara","Land","","","Beachfront","","Flat","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-27aafd8|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-4d0a50e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-6c2307f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/39/02/23/32390223_a51ed53|https://photos.encuentra24.com/t_user_logo/v1/users/logo/16/88/19/23/16881923_af130c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-4d0a50e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-6c2307f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-53bb092|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-29aa492|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-8b86911|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-d4c0015|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-0c4a1d6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/39/02/23/32390223_a51ed53|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/39/02/23/32390223_7ca1e93c57f7d8fed66410ebde04cb00-27aafd8","Lotes Residenciales en Venta, Nosara, Guanacaste | Frente a Río | Blue Zone | $150,000","Four flat, build-ready residential lots in Río Montaña, 10 to 12 minutes from Nosara and Playa ...","","","","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/residential-lots-for-sale-nosara-guanacaste-river-frontage-blue-zone-150-000/32390223"
"Guanacaste","Santa Cruz","Cabo Velas","House","857","","Beachfront","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-330e220|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-f22ab6b|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-ac43fa2|https://photos.encuentra24.com/t_user_logo/v1/users/logo/12/20/66/33/12206633_ab0d70|https://photos.encuentra24.com/t_cnseal/v1594676252/cnseal/5f0cd41c4a555_Bildschirmfotocccbr.png|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-330e220|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-f22ab6b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-a60315c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-8ace834|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-8906022|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-6273336|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-c55b52d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-b8ad109|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-054b506|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-11b725e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-2695611|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-0c47de2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-983d3ed|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-646d9aa|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/92/00/31949200_ce82431004758f0b459d11aaafe8c70d-ac43fa2","Propiedad junto a la playa con potencial de expansión en Playa Grande","Located just 1.8 km from the beach in Playa Grande, this 857 m² property offers mountain views, ...","1 Bedroom","1 Bathroom","2 Vehicles","","1 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/beachside-property-with-expansion-potential-in-playa-grande/31949200"
