province,canton,district,property_type,property_area,utility,environment,accessibility,terrain,legal_status,price_millions,monthly_price,whatsapp,images,title,description,bedrooms,bathrooms,parking,year_built_range,construction_area,transaction_type,listing_status,currency,source_url
"Limón","Pococí","Guápiles","Land","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/30/56/89/42/30568942_b26559|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/30/56/89/42/30568942_2de0a3|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/30/56/89/42/30568942_a27ad8|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/30/56/89/42/30568942_d589a6|https://photos.encuentra24.com/t_user_logo/v1/users/logo/13/71/22/55/13712255_c47616|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_2de0a3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_a27ad8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_f6dd65|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_1f2981|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_52a24b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_9bb46d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_b0696e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_038c9c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_e40015|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_287cad|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_6fb57d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_1b8f7d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_1d93b6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_3cd638|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_1f042c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_4ac350|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_2531d5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_d22bbf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_d589a6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/30/56/89/42/30568942_b26559","Land Guápiles | venta | Land for Sale in Guápiles : USD 125000.00","","","","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/land-for-sale-in-guapiles/30568942"
"Limón","Pococí","Guápiles","Land","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/28/50/75/11/28507511_5373bc|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/28/50/75/11/28507511_05a85b|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/28/50/75/11/28507511_d2956f|https://photos.encuentra24.com/t_user_logo/v1/users/logo/34/41/01/344101_5a17d4|https://photos.encuentra24.com/t_cnseal/v1594676252/cnseal/5f0cd41c4a555_Bildschirmfotocccbr.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_05a85b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_5373bc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_bbbce9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_55ae32|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_7d16a6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_a5f4eb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_78ac90|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_65be74|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_a12f70|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_0ca7fa|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_f59707|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_e4b88e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_2e1de7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_296a44|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_7d2ff8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_91ece8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_f20390|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_1ff55a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_29414c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/28/50/75/11/28507511_d2956f","Land Guápiles | venta | Outstanding Opportunity | Farm for Sale in Guápiles - Limón : USD 875000.00","","","5+ Bathrooms","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/outstanding-opportunity-farm-for-sale-in-guapiles-limon/28507511"
"Limón","Pococí","Guápiles","Land","","","","","","","1","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/97/46/31729746_1610d4|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/97/46/31729746_4f0ba0|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/97/46/31729746_6624ca|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/72/97/46/31729746_296e39|https://photos.encuentra24.com/t_user_photo/v1/users/photo/77/14/43/771443_aea1c6|https://photos.encuentra24.com/t_cnseal/v1594676252/cnseal/5f0cd41c4a555_Bildschirmfotocccbr.png|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/97/46/31729746_4f0ba0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/97/46/31729746_6624ca|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/97/46/31729746_2fbccc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/97/46/31729746_b44bbd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/97/46/31729746_296e39|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/72/97/46/31729746_1610d4","Se vende un terreno en zona mixto en Guapiles de Limon","A 15,571 m2 plot of land is for sale in Guápiles de Limón. This land is suitable for building more ...","","","","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/se-vende-un-terreno-en-zona-mixto-en-guapiles-de-limon/31729746"
"Limón","Talamanca","","Land","","","Riverfront","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/84/06/70/31840670_5a8915|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/84/06/70/31840670_9a9f36|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/84/06/70/31840670_fc391c|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/84/06/70/31840670_bd1d08|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/06/70/31840670_9a9f36|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/06/70/31840670_fc391c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/06/70/31840670_682979|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/06/70/31840670_689e21|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/06/70/31840670_bd1d08|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/84/06/70/31840670_5a8915","Lotes Carbone One al lado del Río en Hone Creek","Nuevo desarrollo residencial de 43 lotes en Hone Creek, Limón, en la costa caribeña de Costa ...","","","","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/lotes-carbone-one-al-lado-del-rio-en-hone-creek/31840670"
"Limón","Limón","","Land","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/19/03/01/31190301_d61b32|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/19/03/01/31190301_061478|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/19/03/01/31190301_5392f6|https://photos.encuentra24.com/t_user_logo/v1/users/logo/46/22/26/462226_206dfb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_d61b32|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_061478|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_7faa52|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_3b0ad6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_ea2ebc|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_c3b1b7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_3b2077|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_e0017a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_2a2fc0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/19/03/01/31190301_5392f6","Land Limón | venta | Ideal land for a gas station, property, residential 5492 : USD 300000.00","","","5+ Bathrooms","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/ideal-land-for-a-gas-station-property-residential-5492/31190301"
"Limón","Talamanca","Puerto Viejo","House","850","","Beachfront","","","","1","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/32/05/98/32320598_884b24|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/32/05/98/32320598_dd7200|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/32/05/98/32320598_2d8526|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_884b24|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_dd7200|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_0c3f8f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_40f990|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_bdcb28|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_f3dd1e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_4e5004|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_d1719d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_dd8311|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_649dd7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_ce82f3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_62ae1b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_8ec928|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_74fb46|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_11b20d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_18716f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_a2cdc9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_1440a4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/05/98/32320598_2d8526","Casa 2 habs en Puerto Viejo - Playa Negra Heights - Piscina y terraza","Casa Volare is a custom architecturally designed residence that harmonizes high-end finishes with a ...","2 Bedrooms","2 Bathrooms","2 Vehicles","","186 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/home-2br-in-puerto-viejo-playa-negra-heights-pool-amp-terrace/32320598"
"Limón","Pococí","Guápiles","House","5000","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/32/99/51/32329951_b0417f5|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/32/99/51/32329951_f9229e9|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/32/99/51/32329951_cf00754|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/32/99/51/32329951_2cb3197|https://photos.encuentra24.com/t_user_photo/v1/users/photo/92/69/53/926953_f18ddc|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_f9229e9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_cf00754|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_b72df37|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_261c71f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_e1774da|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_378452a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_4d438a2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_2828e7e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_04c1086|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_1d3748f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_2cdeee2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_12c17a8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_b0417f5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_492ccc8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_00a9c36|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_2446117|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_ee03587|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_1297411|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/32/99/51/32329951_2cb3197","Houses in Guápiles | For Sale | Extraordinary property in Costa Rica, Guapiles, Limón, : 4 rooms, 300 m2, USD 285000.00","","4 Bedrooms","4 Bathrooms","3 Vehicles","","300 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/extraordinary-property-in-costa-rica-guapiles-limon/32329951"
"Limón","Pococí","","Commercial Property","","","","","","","6","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-90a913a|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-5bd8ec1|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-60a984c|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-55f8b14|https://photos.encuentra24.com/t_user_logo/v1/users/logo/62/92/86/629286_c29940|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-5bd8ec1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-60a984c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-bfecf1f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-fe18f82|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-79ed513|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-55f8b14|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/35/74/51/32357451_1f82ac2a79ec01ca977c5aeea152c2a3-90a913a","Complejo Industrial para inversión en Pococí, Limón","Parque consolidado que cuenta con 11 bodegas y un taller mecánico, actualmente arrendados a ...","","5+ Bathrooms","4+ Vehicles","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-commercial/complejo-industrial-para-inversion-en-pococi-limon/32357451"
"Limón","Limón","Matama","Land","","","","","","","32","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/45/43/32/32454332_ef60e85|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/45/43/32/32454332_603c4cf|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/45/43/32/32454332_9947481|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/45/43/32/32454332_5174434|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/43/32/32454332_603c4cf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/43/32/32454332_9947481|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/43/32/32454332_4624b8a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/43/32/32454332_46c4a88|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/43/32/32454332_5174434|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/43/32/32454332_ef60e85","Venta de lotes a bajo precio","Se venden dos lotes por separado uno de 5,208m2 y otro de 4,234m2. Uno justo al frente del otro. ...","","","","","","buy","active","CRC","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/venta-de-lotes-a-bajo-precio/32454332"
"Limón","Pococí","Guápiles","Farm","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/76/06/43/31760643_ea6c7b|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/76/06/43/31760643_2e9b64|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/76/06/43/31760643_ee2e02|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/76/06/43/31760643_c5c426|https://photos.encuentra24.com/t_user_photo/v1/users/photo/26/28/25/262825_c12bb4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_2e9b64|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_ee2e02|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_57e159|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_67d1cd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_2c101f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_f13b0b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_287aab|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_60e85b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_e2a0ac|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_c5c426|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/76/06/43/31760643_ea6c7b","Farms Guápiles | venta | Venta de finca Ganadera Premium en Guápiles, Pococí : USD 4000000.00","","","","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-farms/venta-de-finca-ganadera-premium-en-guapiles-pococi/31760643"
