province,canton,district,property_type,property_area,utility,environment,accessibility,terrain,legal_status,price_millions,monthly_price,whatsapp,images,title,description,bedrooms,bathrooms,parking,year_built_range,construction_area,transaction_type,listing_status,currency,source_url
"Puntarenas","Esparza","","House","","","Beachfront","","","","36","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-1231f02|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-a478217|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-aa66646|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-1129dab|https://photos.encuentra24.com/t_user_photo/v1/users/photo/27/92/13/2792132_f56c02|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-a478217|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-aa66646|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-c1aad01|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-0481dbe|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-ed21a3e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-6593556|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-e5cdc93|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-d3944b5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-4228aa4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-d4dec53|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-162d377|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-103fb10|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-58339e0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-0f6104f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-a384dfb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-d4e2c5b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-1613683|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-1129dab|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/26/08/05/32260805_095e233f5e3d0376680a642cd3169389-1231f02","Venta Finca + Casa Esparza Puntarenas VPU325","Tu sueño de tener una propiedad cerquita de las playas, rodeado de naturaleza, con el clima de ...","","2 Bathrooms","4+ Vehicles","","","buy","active","CRC","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/venta-finca-casa-esparza-puntarenas-vpu325/32260805"
"Puntarenas","Parrita","Playa Bejuco","Land","","","Beachfront","","","Concession","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-978c957|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-7889d8d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-2ffa08f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-c0b373a|https://photos.encuentra24.com/t_user_photo/v1/users/photo/12/86/76/05/12867605_a697ea|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-7889d8d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-2ffa08f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-562637b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-8008865|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-8e4d7b8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-b4226bb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-428a6c0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-bbe70e3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-c0b373a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/50/04/12/32500412_9eec82d6fbcb850ab0bafdd115c26e3a-978c957","Land Playa Bejuco | venta | Lote con escritura cerca de Manuel Antonio – A 2 minutos de la playa, sin concesión : USD 90000.00","","","","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/lote-con-escritura-cerca-de-manuel-antonio-a-2-minutos-de-la-playa-sin-concesion/32500412"
"Puntarenas","Garabito","Jacó","Condo","","","Beachfront","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/40/83/01/31408301_2d9a11|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/40/83/01/31408301_28de6e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/40/83/01/31408301_c00507|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/40/83/01/31408301_8a278f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_28de6e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_c00507|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_4dfd94|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_86cdc9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_1b2228|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_0e12cd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_73f3c8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_482450|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_c06045|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_1ac1f8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_5398e2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_8a278f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/40/83/01/31408301_2d9a11","Beachfront Jacó | venta | Oceanfront Condo For Sale Jacó $399,000 : USD 399000.00","","","2 Bathrooms","1 Vehicle","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-beachfront-homes-and-lots/oceanfront-condo-for-sale-jaco-399-000/31408301"
"Puntarenas","Garabito","Jacó","Land","","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/94/99/56/31949956_1999bd3|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/94/99/56/31949956_7632806|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/94/99/56/31949956_676bf2e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/94/99/56/31949956_32b8ce3|https://photos.encuentra24.com/t_user_logo/v1/users/logo/15/90/96/81/15909681_0b9887|https://photos.encuentra24.com/t_cnseal/v1594676252/cnseal/5f0cd41c4a555_Bildschirmfotocccbr.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/99/56/31949956_7632806|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/99/56/31949956_676bf2e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/99/56/31949956_055db4b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/99/56/31949956_a8ababf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/99/56/31949956_32b8ce3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/94/99/56/31949956_1999bd3","Venta de Lote en Jaco, excelente ubicación","Bienvenido a Jacó, uno de los destinos turísticos más populares de Costa Rica. Si buscas un ...","","","","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/sale-of-lot-in-jaco-excellent-location/31949956"
"Puntarenas","Aguirre","Naranjito","House","25218","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-152cc4c|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/02/81/07/32028107_6399ce9|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-f0cc89e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-b09b3d8|https://photos.encuentra24.com/t_user_logo/v1/users/logo/78/95/27/789527_675514|https://photos.encuentra24.com/t_cnseal/v1594676252/cnseal/5f0cd41c4a555_Bildschirmfotocccbr.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_6399ce9|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-f0cc89e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-5a1728b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-82ab3d3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-8f0c20d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-d6e1ed0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-690934b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-d20aa42|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-bf373be|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-828eb29|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-13d87dd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-5d3cb0f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-d2ae51b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-e2946e3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-3def416|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-42f0123|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-b2ac3ad|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-3a71e6c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a5337363880-b09b3d8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/02/81/07/32028107_da893d0632fdb52c466c4a","Houses in Naranjito | For Sale | Quepos- Casa Moderna con 2.6 Hectáreas - Puro Lujo- Espacio y Amenidades : 9 rooms, 838 m2, USD 1595000.00","","5+ Bedrooms","5+ Bathrooms","4+ Vehicles","2020+","838 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/quepos-casa-moderna-con-2-6-hectareas-puro-lujo-espacio-y-amenidades/32028107"
"Puntarenas","Garabito","Jacó","Condo","118","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-51bd463|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-1774bff|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-1e82a74|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-19333db|https://photos.encuentra24.com/t_user_logo/v1/users/logo/13/67/89/17/13678917_b953e2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-1774bff|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-1e82a74|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-5fc21db|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-87320ab|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-4728836|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-5106aa6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-d5f80a6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-bd08459|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-8e71ae4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-b460a55|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-48bab0f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-019d202|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-991d838|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-19333db|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/19/43/32/32194332_39b06a6a1d8f47dad43cd4ebce6e4f53-51bd463","Apartments in Jacó | For Sale | Apartamento en venta en Jacó : 3 rooms, 118 m2, USD 229000.00","","3 Bedrooms","3 Bathrooms","2 Vehicles","","118 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-apartments-condos/apartamento-en-venta-en-jaco/32194332"
"Puntarenas","Garabito","Herradura","Land","","","Beachfront","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/79/38/32427938_ecc8b5340398512ec1a841000532150a-b53e292|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/79/38/32427938_ecc8b5340398512ec1a841000532150a-a60073f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/79/38/32427938_ecc8b5340398512ec1a841000532150a-9a07e9f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/79/38/32427938_ecc8b5340398512ec1a841000532150a-b53e292|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/79/38/32427938_ecc8b5340398512ec1a841000532150a-a60073f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/79/38/32427938_ecc8b5340398512ec1a841000532150a-3c1d459|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/79/38/32427938_ecc8b5340398512ec1a841000532150a-e84828e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/79/38/32427938_ecc8b5340398512ec1a841000532150a-9a07e9f","Land Herradura | venta | 3,500 m² Land Near Playa Herradura – Mixed-Use Zoning : CRC 69000000.00","","","","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/3-500-m-land-near-playa-herradura-mixed-use-zoning/32427938"
"Puntarenas","Garabito","Herradura","Land","","","Beachfront","","Flat","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/11/85/64/32118564_55acd32|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/11/85/64/32118564_20d7eda|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/11/85/64/32118564_b119833|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/11/85/64/32118564_a2ad9ca|https://photos.encuentra24.com/t_user_logo/v1/users/logo/59/92/19/599219_7eda60|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_20d7eda|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_b119833|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_418d7ff|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_b12eed2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_10a11b5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_9323a66|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_c8ce633|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_4652bca|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_d14d62b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_94608f8|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_d24c7ce|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_8596b2a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_3b64905|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_0702bb7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_a2b98f2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_5ebd2af|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_4b45fc3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_a2ad9ca|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/11/85/64/32118564_55acd32","Terreno Residencial Comercial en Playa Herradura","Nice flat ground, with 22 meters of front of paved public street. Just 150 metres from the main ...","","","","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/land-is-sold-in-playa-herradura/32118564"
"Puntarenas","Garabito","Jacó","","","","Beachfront","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-922380b|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-1db949e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-c6e872e|https://photos.encuentra24.com/t_user_photo/v1/users/photo/12/67/90/43/12679043_219fc3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-922380b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-1db949e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-ab3f3bd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-638b869|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-fdcac32|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-d9715f7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-6fdfed6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-dc88356|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-2e96542|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-63ca33c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-e3f8b0c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-5270644|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-45af3da|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-26bb8eb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-f894b9c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-859fd0b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-29788b5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-29d6500|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/42/95/97/32429597_4645add3b0d5fefb9eea130e18bb2efd-d3a5943","Tu refugio Pacífico a 5 minutos de playa Hermosa !!","Amantes del mar y de sus atardeceres , del Surf , de las vacaciones en familia ... o simplemente ...","","2 Bathrooms","4+ Vehicles","","","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-beachfront-homes-and-lots/your-pacific-shelter-5-minutes-from-hermosa-beach/32429597"
"Puntarenas","Garabito","Jacó","","","","Beachfront","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-e22fb59|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-a74fcbf|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-49572f3|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-464a5b3|https://photos.encuentra24.com/t_user_photo/v1/users/photo/21/69/09/216909_4e941c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-a74fcbf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-49572f3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-69364a2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-a8d9864|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-5bba6a5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-c6148b0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-fe1f6d4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-464a5b3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/44/04/82/32440482_b6850a1a24ae4ecb1b4db2d020e638e5-e22fb59","Beachfront Jacó | venta | BEACHFRONT LOT IN BAJAMAR WITH TITLE - 1.5h FROM SJO : USD 185000.00","","","","","","","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-beachfront-homes-and-lots/beachfront-lot-in-bajamar-with-title-1-5h-from-sjo/32440482"
