province,canton,district,property_type,property_area,utility,environment,accessibility,terrain,legal_status,price_millions,monthly_price,whatsapp,images,title,description,bedrooms,bathrooms,parking,year_built_range,construction_area,transaction_type,listing_status,currency,source_url
"San José","Santa Ana","Brasil","Condo","146","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-785a07d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-9b70d42|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-934c510|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-6524d2a|https://photos.encuentra24.com/t_user_photo/v1/users/photo/17/46/70/58/17467058_f8d9f4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-9b70d42|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-934c510|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-60a1caa|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-99fc22a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-1a82d22|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-3cd3a56|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-5e2c81f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-d338892|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-8831e56|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-0f24fce|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-6055246|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-5946b9d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-6524d2a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/13/38/22/32133822_5791aaaf5d0767e5062c879f4cffb5c5-785a07d","Apartamento en primer piso semi amueblado a la venta","Nice apartment for sale in exclusive condo in Brazil of Santa Ana. It is located in a building of ...","3 Bedrooms","2 Bathrooms","2 Vehicles","","118 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-apartments-condos/first-floor-3-room-apartment-for-sale/32133822"
"San José","Santa Ana","Brasil","Condo","118","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-5eb311f|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-f4aa504|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-5f7be40|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-1cfbf3c|https://photos.encuentra24.com/t_user_photo/v1/users/photo/17/46/70/58/17467058_f8d9f4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-f4aa504|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-5f7be40|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-b036fa7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-cd2a0c4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-21181be|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-1cfbf3c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/46/06/18/32460618_2d2d42d2071ed922c2f1d0925e9e6ef5-5eb311f","Apartments in Brasil | For Sale | Apartment for sale in Brazil de Santa Ana : 2 rooms, 90 m2, USD 184000.00","","2 Bedrooms","2 Bathrooms","2 Vehicles","","90 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-apartments-condos/apartment-for-sale-in-brazil-de-santa-ana/32460618"
"San José","Montes de Oca","San Pedro","Land","","","","","","","150","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-3654f27|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-5f2d49d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-27dc806|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-fba4982|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-5f2d49d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-27dc806|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-ddda37f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-f13b9d1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-e464d84|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-78f1f1e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-fba4982|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/45/50/62/32455062_be6c6ba5bfb7e32e9f4e6286167bd2e4-3654f27","Terreno de 962m2 en Sabanilla, a 100 mts del Colegio Metodista","Land for sale in an excellent location on Calle La Bamba, 100 meters southeast of the Methodist ...","","","","","","buy","active","CRC","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-lots-land/land-of-962m2-in-sabanilla-100-meters-from-the-methodist-school/32455062"
"San José","Santa Ana","Santa Ana Centro","Condo","160","","Urban","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-f18dbb6|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-3a2e2b4|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-88a0d7b|https://photos.encuentra24.com/t_user_logo/v1/users/logo/33/46/29/334629_c4ff6a|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-f18dbb6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-3a2e2b4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-d0ca6ea|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-579ce04|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-1b30ab3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-3cc4a67|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-b7c385f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-3cdf59a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-613652b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/41/01/72/32410172_355e7f324c76150336b448d979b94647-88a0d7b","Apartments in Santa Ana Centro | For Sale | Spectacular sale Penthouse furnished with large private terrace Condominium Rosaleda : 1 rooms, 160 m2, USD 199000.00","","1 Bedroom","2 Bathrooms","2 Vehicles","2000s","160 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-apartments-condos/spectacular-sale-penthouse-furnished-with-large-private-terrace-condominium-rosaleda/32410172"
"San José","San José Capital","Rohrmoser","House","512","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/28/54/17/32285417_e637119|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/28/54/17/32285417_c6f5c89|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/28/54/17/32285417_7143568|https://photos.encuentra24.com/t_user_logo/v1/users/logo/33/46/29/334629_c4ff6a|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_e637119|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_c6f5c89|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_74d634a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_324cd8a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_9a121df|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_b852181|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_d62eca0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_bd4aa58|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_54d9cdf|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_fd3f702|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_3a576d2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_184cb2a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_4be3789|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_5383676|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_e7a691b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_d00b711|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_92c6c55|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_a9b2c5f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/28/54/17/32285417_7143568","Houses in Rohrmoser | For Sale | Exclusive and spacious property for sale in Nunciatura! : 6 rooms, 458 m2, USD 645000.00","","5+ Bedrooms","3 Bathrooms","3 Vehicles","","458 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/exclusive-and-spacious-property-for-sale-in-nunciatura/32285417"
"San José","Escazú","San Rafael","House","259","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/98/08/79/31980879_5b9a421|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/98/08/79/31980879_43c947d|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/98/08/79/31980879_8ec067e|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/98/08/79/31980879_6858f63|https://photos.encuentra24.com/t_user_logo/v1/users/logo/33/46/29/334629_c4ff6a|https://photos.encuentra24.com/t_cnseal/v1697642511/cnseal/652ff80f42db6_Verified%20badge.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_43c947d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_8ec067e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_e3552f4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_1b3a1f0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_de8494d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_29f3b0b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_9b97eec|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_7e96c69|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_11ae85b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_8f55c84|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_6858f63|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/98/08/79/31980879_5b9a421","Houses in San Rafael | For Sale | House for sale in Trejos Montealegre, Escazú! : 3 rooms, 259 m2, USD 275000.00","","3 Bedrooms","4 Bathrooms","2 Vehicles","1990s","259 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/house-for-sale-in-trejos-montealegre-escazu/31980879"
"San José","Escazú","Escazú","Condo","278.94","","Forest","","Forested","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-00c86a6|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-df278a7|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-733f490|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-6a3249d|https://photos.encuentra24.com/t_user_photo/v1/users/photo/15/60/02/91/15600291_cfc0b3|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-df278a7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-733f490|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-c6ad0ef|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-21cdbdb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-1d581db|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-2302760|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-b59b939|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-2473dc0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-f03b312|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-8279268|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-6a3249d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/36/01/88/32360188_d93a65ba4a8abc1c90ed908736a0d111-00c86a6","Houses in Escazú | For Sale | House for Sale in Bosques Escazú Condominium : 3 rooms, 279 m2, USD 435000.00","","3 Bedrooms","4 Bathrooms","4+ Vehicles","2020+","278.94 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/house-for-sale-in-bosques-escazu-condominium/32360188"
"San José","Tibás","San Juan","Condo","294","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/54/33/16/31543316_4511d7|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/54/33/16/31543316_e7cd28|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/54/33/16/31543316_c0a2bb|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/31/54/33/16/31543316_cdd00e|https://photos.encuentra24.com/t_user_photo/v1/users/photo/27/92/13/2792132_f56c02|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_e7cd28|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_c0a2bb|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_e984e6|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_6b3a2c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_9d5776|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_8403e0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_25f1a4|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_654be1|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_55404b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_85713b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_4a6082|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_17f13f|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_a65fde|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_19f308|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_637a38|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_524643|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_3a3950|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_10e3e2|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_cdd00e|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/31/54/33/16/31543316_4511d7","Houses in San Juan | For Sale | Venta propiedad casa+ Apartamento San Juan Tibas VT1400 : 5 rooms, 310 m2, CRC 170000000.00","","5+ Bedrooms","4 Bathrooms","4+ Vehicles","","310 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/venta-propiedad-casa-apartamento-san-juan-tibas-vt1400/31543316"
"San José","San José Capital","Rohrmoser","House","Ask the seller","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-d51c5df|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-315a349|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-671440b|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-8dc000f|https://photos.encuentra24.com/t_user_logo/v1/users/logo/13/45/48/27/13454827_5d10a7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-315a349|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-671440b|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-abb5373|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-a4a3aef|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-1ce0575|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-a967eda|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-3e14b31|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-7d6558d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-52e97fd|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-2b44157|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-f5c05ba|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-ed7b369|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-1abb80c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-e863c1c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-d488375|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-65f8ef0|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-a304338|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-02cb7f7|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/25/05/80/32250580_efb2dba45416a37475f65b9781f36fb1-8dc000f","Houses in Rohrmoser | For Sale | SELL BEAUTIFUL HOUSE IN ROHRNOSER FOR HUMBOLDT : 3 rooms, 250 m2, CRC 135000000.00","","3 Bedrooms","2 Bathrooms","2 Vehicles","","250 m²","buy","active","","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/sell-beautiful-house-in-rohrnoser-for-humboldt/32250580"
"San José","Moravia","San Vicente","House","319","","","","","","","","50764261804","https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/84/10/32498410_fc6eda|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/84/10/32498410_f42922|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/84/10/32498410_d91204|https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/cr/32/49/84/10/32498410_51a682|https://photos.encuentra24.com/t_user_photo/v1/users/photo/12/91/09/1291094_a14cff|https://photos.encuentra24.com/t_cnseal/v1594676252/cnseal/5f0cd41c4a555_Bildschirmfotocccbr.png|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_f42922|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_d91204|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_f7c6be|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_5041b5|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_518ede|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_25d001|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_6ac82a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_2dbb7d|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_ea2f7c|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_01413a|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_1ac0aa|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_5da125|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_adfc98|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_78efca|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_4e4679|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_1ace82|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_9ea526|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_51a682|https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cr/32/49/84/10/32498410_fc6eda","Casa de un piso en Moravia. San Vicente","Con una ubicación privilegiada en la zona de San Vicente de Moravia, cerca del Altode ...","4 Bedrooms","4 Bathrooms","3 Vehicles","2000s","240 m²","buy","active","USD","https://www.encuentra24.com/costa-rica-en/real-estate-for-sale-houses-homes/casa-de-un-piso-en-moravia-san-vicente/32498410"
